Queues,Lambd,Arrived_Jobs,Completed_Jobs,Difference,Load_Balancer
2,0.5,99602,99600,2,RANDOM
2,0.9,180267,180244,23,RANDOM
2,0.95,190979,190973,6,RANDOM
2,0.99,197780,197405,375,RANDOM
5,0.5,249820,249816,4,RANDOM
5,0.9,450914,450877,37,RANDOM
5,0.95,474993,474953,40,RANDOM
5,0.99,493470,493031,439,RANDOM
10,0.5,498877,498873,4,RANDOM
10,0.9,899449,899362,87,RANDOM
10,0.95,951009,950878,131,RANDOM
10,0.99,989783,988785,998,RANDOM
20,0.5,999743,999726,17,RANDOM
20,0.9,1801864,1801686,178,RANDOM
20,0.95,1897744,1897464,280,RANDOM
20,0.99,1979727,1978569,1158,RANDOM
50,0.5,2498335,2498304,31,RANDOM
50,0.9,4499541,4499054,487,RANDOM
50,0.95,4750258,4749277,981,RANDOM
50,0.99,4950626,4945337,5289,RANDOM
100,0.5,4999729,4999608,121,RANDOM
100,0.9,9004082,9003121,961,RANDOM
100,0.95,9497458,9495723,1735,RANDOM
100,0.99,9898780,9889584,9196,RANDOM
