Queues,Lambd,Mu,Max_T,Average_Time,Actual_Time,Load_Balancer
2,0.5,1,100000,2.0,1.959164250299155,RANDOM
2,0.9,1,100000,10.000000000000002,9.953779517608245,RANDOM
2,0.95,1,100000,19.999999999999982,18.725993126175883,RANDOM
2,0.99,1,100000,99.99999999999991,105.57607628144602,RANDOM
5,0.5,1,100000,2.0,1.9860246168508513,RANDOM
5,0.9,1,100000,10.000000000000002,10.728821816867418,RANDOM
5,0.95,1,100000,19.999999999999982,19.471881861113975,RANDOM
5,0.99,1,100000,99.99999999999991,69.91883247069852,RANDOM
10,0.5,1,100000,2.0,1.9984750097086263,RANDOM
10,0.9,1,100000,10.000000000000002,9.9078087371295,RANDOM
10,0.95,1,100000,19.999999999999982,19.81867422285322,RANDOM
10,0.99,1,100000,99.99999999999991,83.7151597340458,RANDOM
20,0.5,1,100000,2.0,2.002522909920507,RANDOM
20,0.9,1,100000,10.000000000000002,10.260640968984035,RANDOM
20,0.95,1,100000,19.999999999999982,18.26845260908942,RANDOM
20,0.99,1,100000,99.99999999999991,86.59946487252026,RANDOM
50,0.5,1,100000,2.0,2.0020890212142084,RANDOM
50,0.9,1,100000,10.000000000000002,9.919754660044912,RANDOM
50,0.95,1,100000,19.999999999999982,20.15928151506877,RANDOM
50,0.99,1,100000,99.99999999999991,98.52122268397073,RANDOM
100,0.5,1,100000,2.0,1.9949930833305358,RANDOM
100,0.9,1,100000,10.000000000000002,10.031962357320083,RANDOM
100,0.95,1,100000,19.999999999999982,19.95158451374511,RANDOM
100,0.99,1,100000,99.99999999999991,90.7585209593781,RANDOM
